left,top,width,height,text,label
56,776,61,20,Deco,SUPPLIER
123,776,81,20,Addict,SUPPLIER
56,810,23,16,77,ADDRESS
84,810,54,16,Santa,ADDRESS
144,810,77,16,Barbara,ADDRESS
227,810,24,16,Rd,ADDRESS
56,835,83,16,Pleasant,ADDRESS
145,835,39,19,"Hill,",ADDRESS
189,835,60,16,94523,ADDRESS
56,860,35,16,+32,ADDRESS
98,860,22,16,10,ADDRESS
126,860,35,16,588,ADDRESS
167,860,36,16,558,ADDRESS
56,885,176,20,info@agrolait.com,ADDRESS
63,1936,36,16,Nos,O
105,1936,124,16,coordonnées,O
235,1936,92,16,bancaires,O
63,1960,73,20,Banque,O
63,1985,23,16,N°,O
91,1985,23,16,de,O
120,1987,72,17,compte,O
63,2010,135,16,57657656576,O
63,2035,50,16,Swift,O
63,2060,71,16,SF7575,O
527,333,92,20,Facturé,O
626,333,25,20,a:,O
526,376,176,25,YourCompany,O
526,411,43,19,250,O
575,411,111,19,Executive,O
693,411,52,19,Park,O
751,411,49,19,Blvd,O
526,439,40,19,San,O
573,439,107,19,Francisco,O
687,454,4,8,",",O
698,439,71,19,94134,O
527,469,27,18,+1,O
561,467,56,24,(650),O
623,468,109,19,555-0111,O
556,606,55,17,Détail,O
556,669,69,21,Ecrans,LINE/DESCRIPTION
632,673,86,16,ant-bruit,LINE/DESCRIPTION
555,739,74,17,Grande,LINE/DESCRIPTION
636,739,77,17,armoire,LINE/DESCRIPTION
555,805,125,21,Assemblage,LINE/DESCRIPTION
686,805,24,17,de,LINE/DESCRIPTION
718,805,75,17,Cuisine,LINE/DESCRIPTION
800,805,76,21,(Etapes,LINE/DESCRIPTION
884,805,127,21,Importantes),LINE/DESCRIPTION
555,871,69,17,Chaise,LINE/DESCRIPTION
631,871,24,17,de,LINE/DESCRIPTION
662,872,69,16,bureau,LINE/DESCRIPTION
555,936,69,17,Chaise,LINE/DESCRIPTION
631,936,24,17,de,LINE/DESCRIPTION
662,936,69,17,bureau,LINE/DESCRIPTION
556,1002,110,17,Restaurant,LINE/DESCRIPTION
556,1068,78,21,Logiciel,LINE/DESCRIPTION
641,1068,25,17,de,LINE/DESCRIPTION
672,1068,112,21,conception,LINE/DESCRIPTION
792,1068,24,17,de,LINE/DESCRIPTION
823,1068,69,17,bureau,LINE/DESCRIPTION
556,1134,71,17,Bureau,LINE/DESCRIPTION
634,1134,73,21,d'angle,LINE/DESCRIPTION
714,1134,52,17,assis,LINE/DESCRIPTION
773,1134,11,17,a,LINE/DESCRIPTION
791,1134,58,17,droite,LINE/DESCRIPTION
555,1200,103,17,Architecte,LINE/DESCRIPTION
665,1200,65,17,Junior,LINE/DESCRIPTION
736,1200,122,20,(Facturation,LINE/DESCRIPTION
865,1204,33,13,sur,LINE/DESCRIPTION
905,1200,78,17,Feuilles,LINE/DESCRIPTION
990,1200,24,17,de,LINE/DESCRIPTION
555,1221,75,21,Temps),LINE/DESCRIPTION
556,1287,51,17,Hotel,LINE/DESCRIPTION
533,1642,78,20,Arégler,O
616,1644,60,14,avant:,O
681,1642,114,16,2017-20-09,INVOICE_DUE_DATE
533,1674,111,16,Commandé,O
649,1679,37,15,par:,O
691,1674,45,16,John,O
742,1674,38,16,Doe,O
1247,51,332,54,FACTURE,O
1079,326,29,20,N°,O
1115,326,91,20,Facture,O
1212,326,16,20,#,O
1234,336,8,4,-,O
1249,326,239,22,FAQ8/2017/091525,NUMBER
1079,355,29,20,N°,O
1115,355,33,20,BC,O
1154,355,15,20,#,O
1175,365,8,4,-,O
1191,355,110,20,BC03093,PO_NUMBER
1079,412,57,20,Date,O
1143,422,7,4,-,O
1158,412,142,20,2017-21-08,INVOICE_DATE
1175,602,34,31,até,O
1327,606,49,17,Taux,O
1498,606,39,16,Prix,O
1166,674,52,18,"76,00",LINE/QUANTITY
1320,674,64,19,"287,00",LINE/PRICE
1470,674,20,15,21,LINE/SUB_TOTAL
1500,674,64,19,"812,00",LINE/SUB_TOTAL
1166,740,52,19,"21,00",LINE/QUANTITY
1319,740,64,19,"800,00",LINE/PRICE
1471,740,22,16,16,LINE/SUB_TOTAL
1500,740,64,18,"800,00",LINE/SUB_TOTAL
1173,806,39,19,"1,00",LINE/QUANTITY
1319,806,65,18,"420,00",LINE/PRICE
1485,806,64,19,"420,00",LINE/SUB_TOTAL
1166,872,52,19,"18,00",LINE/QUANTITY
1326,872,52,19,"55,00",LINE/PRICE
1485,872,64,19,"990,00",LINE/SUB_TOTAL
1172,933,40,29,"5,00",LINE/QUANTITY
1326,937,52,18,"55,00",LINE/PRICE
1485,937,64,19,"275,00",LINE/SUB_TOTAL
1166,1003,52,19,"91,00",LINE/QUANTITY
1332,1003,40,18,"8,00",LINE/PRICE
1485,1003,64,19,"728,00",LINE/SUB_TOTAL
1166,1069,52,19,"80,00",LINE/QUANTITY
1320,1069,64,19,"235,00",LINE/PRICE
