left,top,width,height,text,label
1247,51,332,54,FACTURE,O
527,333,92,20,Facturé,O
626,333,25,20,a:,O
1079,326,29,20,N°,O
1115,326,91,20,Facture,O
1212,326,16,20,#,O
1234,336,8,4,-,O
1249,326,240,22,FA02/2015/020440,NUMBER
1079,355,29,20,N°,O
1115,355,33,20,BC,O
1154,355,15,20,#,O
1175,365,8,4,-,O
1191,355,110,20,BC03984,PO_NUMBER
526,376,176,25,YourCompany,O
526,411,43,19,250,O
575,411,111,19,Executive,O
693,411,52,19,Park,O
751,411,49,19,Blvd,O
1079,412,57,20,Date,O
1143,422,7,4,-,O
1158,412,142,20,2015-08-02,INVOICE_DATE
526,439,40,19,San,O
573,439,107,19,Francisco,O
687,454,4,8,",",O
698,439,71,19,94134,O
527,469,27,18,+1,O
561,467,56,24,(650),O
623,468,109,19,555-0111,O
556,602,55,30,Détail,O
1167,602,38,30,até,O
1324,606,49,17,Taux,O
1497,606,39,16,Prix,O
555,673,69,17,Chaise,LINE/DESCRIPTION
631,673,24,17,de,LINE/DESCRIPTION
662,673,69,17,bureau,LINE/DESCRIPTION
739,673,51,17,noire,LINE/DESCRIPTION
1161,674,53,19,"20,00",LINE/QUANTITY
1317,674,63,19,"180,00",LINE/PRICE
1475,674,11,16,3,LINE/SUB_TOTAL
1493,674,64,19,"600,00",LINE/SUB_TOTAL
556,739,71,17,Bureau,LINE/DESCRIPTION
635,739,161,21,personnalisable,LINE/DESCRIPTION
1161,740,52,19,"23,00",LINE/QUANTITY
1316,740,64,19,"500,00",LINE/PRICE
1471,740,18,15,11,LINE/SUB_TOTAL
1499,740,65,19,"500,00",LINE/SUB_TOTAL
56,776,61,20,Deco,SUPPLIER
123,776,81,20,Addict,SUPPLIER
56,810,23,16,77,ADDRESS
84,810,54,16,Santa,ADDRESS
144,810,77,16,Barbara,ADDRESS
227,810,24,16,Rd,ADDRESS
555,805,74,17,Grande,LINE/DESCRIPTION
635,805,49,17,table,LINE/DESCRIPTION
691,805,24,17,de,LINE/DESCRIPTION
723,805,76,17,réunion,LINE/DESCRIPTION
1161,806,53,18,"21,00",LINE/QUANTITY
1307,806,11,15,4,LINE/PRICE
1325,806,64,19,"500,00",LINE/PRICE
1470,806,22,16,94,LINE/SUB_TOTAL
1499,806,65,19,"500,00",LINE/SUB_TOTAL
56,835,83,16,Pleasant,ADDRESS
145,835,39,19,"Hill,",ADDRESS
189,835,60,16,94523,ADDRESS
56,860,35,29,Roe,ADDRESS
98,860,22,16,sO,ADDRESS
126,860,35,16,nee,ADDRESS
167,860,36,29,aoe,ADDRESS
555,871,74,17,Grande,LINE/DESCRIPTION
635,871,49,17,table,LINE/DESCRIPTION
691,871,24,17,de,LINE/DESCRIPTION
723,871,76,17,réunion,LINE/DESCRIPTION
1161,872,53,19,"34,00",LINE/QUANTITY
1307,872,82,19,"4.500,00",LINE/PRICE
1464,872,34,16,153,LINE/SUB_TOTAL
1505,872,64,19,"000,00",LINE/SUB_TOTAL
56,885,176,20,info@agrolait.com,ADDRESS
555,936,133,17,Combinaison,LINE/DESCRIPTION
696,936,24,17,de,LINE/DESCRIPTION
727,936,69,17,bureau,LINE/DESCRIPTION
1161,937,53,19,"64,00",LINE/QUANTITY
1316,937,64,19,"300,00",LINE/PRICE
1470,937,22,16,19,LINE/SUB_TOTAL
1499,937,65,19,"200,00",LINE/SUB_TOTAL
555,1002,103,17,Architecte,LINE/DESCRIPTION
665,1002,65,17,Junior,LINE/DESCRIPTION
737,1002,121,21,(Facturation,LINE/DESCRIPTION
865,1006,33,13,sur,LINE/DESCRIPTION
905,1002,78,17,Feuilles,LINE/DESCRIPTION
990,1002,24,17,de,LINE/DESCRIPTION
1161,1003,53,19,"62,00",LINE/QUANTITY
1322,1003,53,19,"85,00",LINE/PRICE
1475,1003,11,16,5,LINE/SUB_TOTAL
1493,1003,64,19,"270,00",LINE/SUB_TOTAL
555,1024,75,21,Temps),LINE/DESCRIPTION
555,1089,54,17,Tiroir,LINE/DESCRIPTION
616,1089,39,17,noir,LINE/DESCRIPTION
1161,1090,53,19,"99,00",LINE/QUANTITY
1322,1090,53,19,"20,00",LINE/PRICE
1476,1090,7,15,1,LINE/SUB_TOTAL
1493,1090,64,19,"980,00",LINE/SUB_TOTAL
1158,1184,71,17,TOTAL,O
1236,1184,28,16,HT,O
1387,1185,35,16,289,TOTAL_UNTAXED
1428,1185,65,19,"050,00",TOTAL_UNTAXED
1500,1184,14,17,€,TOTAL_UNTAXED
1175,1249,70,17,TAXES,O
1393,1250,23,16,55,TAX_AMOUNT
1424,1250,63,19,"134,00",TAX_AMOUNT
1494,1249,14,17,€,TAX_AMOUNT
1152,1315,71,17,TOTAL,O
1229,1315,41,17,TTC,O
1387,1316,35,16,344,TOTAL_AMOUNT
1429,1316,64,19,"184,00",TOTAL_AMOUNT
1500,1315,14,17,€,TOTAL_AMOUNT
533,1642,78,20,Arégler,O
616,1644,60,14,avant:,O
681,1642,114,16,2015-08-02,INVOICE_DUE_DATE
533,1674,111,16,Commandé,O
649,1679,37,15,par:,O
691,1674,45,16,John,O
742,1674,38,16,Doe,O
63,1936,36,16,Nos,O
105,1936,124,16,coordonnées,O
235,1936,92,16,bancaires,O
63,1960,73,20,Banque,O
63,1985,23,16,N°,O
91,1985,23,16,de,O
120,1987,72,17,compte,O
63,2010,135,16,57657656576,O
63,2035,50,16,Swift,O
63,2060,71,16,SF7575,O
