left,top,width,height,text,label
954,69,46,21,The,SUPPLIER
1007,69,96,21,Jackson,SUPPLIER
1111,70,77,25,Group,SUPPLIER
957,113,61,20,1611,ADDRESS
1027,113,75,25,Peony,ADDRESS
1110,113,29,20,Dr,ADDRESS
80,124,218,52,FACTU,O
310,124,75,51,RE,O
954,155,69,25,Tracy,ADDRESS
1030,155,37,20,CA,ADDRESS
1075,155,79,20,95377,ADDRESS
956,192,61,25,Etats,ADDRESS
1025,196,53,21,Unis,ADDRESS
77,317,92,20,Facturé,O
177,317,11,20,a,O
524,317,57,20,Date,O
860,317,92,20,Facture,O
961,317,29,20,N°,O
1275,317,105,20,Monrant,O
1388,317,11,20,a,O
1408,316,71,26,régler,O
77,358,92,21,Lumber,O
178,359,34,20,Inc,O
522,359,38,20,fév,INVOICE_DATE
569,359,34,23,"11,",INVOICE_DATE
611,359,63,20,2020,INVOICE_DATE
860,358,248,22,FA02/2020/036753,NUMBER
1274,359,13,20,3,O
1295,359,86,23,"494,00",O
1387,359,16,20,€,O
78,401,61,20,1337,O
148,401,16,20,N,O
173,401,42,20,San,O
223,400,94,26,Joaquin,O
325,401,24,20,St,O
524,423,127,21,Sueaiech,O
860,424,39,20,aug,O
76,442,108,21,Stockton,O
192,443,37,20,CA,O
236,443,79,20,95202,O
544,430,37,14,ate,O
611,429,114,15,d'écheance,O
877,429,106,15,eference,O
82,481,6,3,;,O
182,485,3,4,.,O
522,465,38,21,fév,INVOICE_DUE_DATE
569,466,34,23,"11,",INVOICE_DUE_DATE
611,466,63,20,2020,INVOICE_DUE_DATE
860,466,116,20,BCO9264,PO_NUMBER
77,486,60,20,Etats,O
146,486,52,20,Unis,O
77,646,180,20,DESCRIPTION,O
1173,646,33,20,PU,O
1356,646,53,24,QTE,O
1442,646,156,20,SOUS-TOTA,O
75,732,69,21,Tiroir,LINE/DESCRIPTION
151,732,48,21,noir,LINE/DESCRIPTION
1138,733,69,24,"20,00",LINE/QUANTITY
1341,733,69,24,"37,00",LINE/PRICE
1506,733,85,24,"740,00",LINE/SUB_TOTAL
75,820,129,21,Architecte,LINE/DESCRIPTION
211,820,77,21,Junior,LINE/DESCRIPTION
295,819,149,26,(Facturation,LINE/DESCRIPTION
452,826,38,15,sur,LINE/DESCRIPTION
498,820,91,21,Feuilles,LINE/DESCRIPTION
597,820,28,21,de,LINE/DESCRIPTION
632,819,88,27,Temps),LINE/DESCRIPTION
1138,821,69,24,"85,00",LINE/QUANTITY
1341,821,69,24,"27,00",LINE/PRICE
1485,821,13,20,2.,LINE/SUB_TOTAL
1506,821,86,23,"295,00",LINE/SUB_TOTAL
1039,1694,61,21,Total,O
1110,1695,36,20,HT,O
1416,1695,107,24,"3035,00",TOTAL_UNTAXED
1530,1695,15,20,€,TOTAL_UNTAXED
1074,1783,71,20,Taxes,O
1421,1783,101,24,"+459,00",TAX_AMOUNT
1530,1783,15,20,€,TAX_AMOUNT
1025,1872,61,21,Total,O
1094,1873,51,20,TTC,O
1416,1873,14,20,3,TOTAL_AMOUNT
1437,1873,86,24,"494,00",TOTAL_AMOUNT
1530,1873,15,20,€,TOTAL_AMOUNT
1051,1966,19,20,A,O
1077,1971,68,20,payer,O
1416,1966,129,24,"3.494,00€",O
