left,top,width,height,text,label
80,124,305,52,FACTURE,O
77,317,92,20,Facturé,O
177,317,11,20,a,O
524,317,57,20,Date,O
77,358,92,21,Lumber,O
178,359,34,20,Inc,O
523,358,41,21,mai,INVOICE_DATE
572,359,37,23,"01,",INVOICE_DATE
616,359,63,20,2016,INVOICE_DATE
78,401,137,20,1337,O
146,396,15,36,N,O
173,401,39,20,San,O
223,400,94,26,Joaquin,O
325,401,24,20,St,O
524,423,127,21,Sueaiech,O
76,442,108,21,Stockton,O
192,443,37,20,CA,O
236,443,79,20,95202,O
544,430,37,14,ave,O
611,429,114,15,qecneance,O
82,481,6,3,2,O
182,485,3,4,‘,O
521,465,28,26,jul,INVOICE_DUE_DATE
559,466,106,24,"30,2016",INVOICE_DUE_DATE
77,486,60,20,Etats,O
146,486,52,20,Unis,O
77,646,180,20,DESCRIPTION,O
75,732,146,26,Assemblage,LINE/DESCRIPTION
229,732,28,21,de,LINE/DESCRIPTION
265,732,89,21,Cuisine,LINE/DESCRIPTION
363,732,89,26,(Etapes,LINE/DESCRIPTION
461,731,156,27,Importantes),LINE/DESCRIPTION
863,70,177,25,YourCompany,SUPPLIER
864,113,47,20,250,O
919,112,118,21,Executive,ADDRESS
1046,112,54,21,Park,ADDRESS
1108,112,51,21,Blvd,ADDRESS
865,155,79,20,94134,ADDRESS
950,155,43,20,San,ADDRESS
1002,154,115,21,Francisco,ADDRESS
865,197,81,20,France,ADDRESS
860,317,92,20,Facture,O
961,317,29,20,N°,O
1275,317,105,20,Monrant,O
1388,317,11,20,a,O
1408,316,71,26,régler,O
860,358,248,22,FA05/2016/034537,NUMBER
1275,359,29,20,19,O
1313,359,105,24,"152,00€",O
860,424,123,20,Reference,O
860,466,115,20,BCO5077,PO_NUMBER
1173,646,33,20,PU,O
1356,646,53,24,QTE,O
1442,646,156,20,SOUS-TOTA,O
1120,733,86,24,"420,00",LINE/QUANTITY
1341,733,69,24,"38,00",LINE/PRICE
1471,733,27,20,15,LINE/SUB_TOTAL
1507,733,85,24,"960,00",LINE/SUB_TOTAL
1017,1694,62,21,Total,O
1089,1695,35,20,HT,O
1402,1695,28,20,15,TOTAL_UNTAXED
1439,1695,106,24,"960,00",TOTAL_UNTAXED
1532,1690,15,35,€,TOTAL_UNTAXED
1053,1783,70,20,Taxes,O
1400,1783,30,20,+3,TAX_AMOUNT
1440,1783,83,24,"192,00",TAX_AMOUNT
1530,1783,15,20,€,TAX_AMOUNT
1004,1872,61,21,Total,O
1073,1873,51,20,TTC,O
1402,1873,28,20,19,TOTAL_AMOUNT
1440,1873,105,23,"152,00",TOTAL_AMOUNT
1532,1868,15,35,€,TOTAL_AMOUNT
1030,1966,19,20,A,O
1056,1971,68,20,payer,O
1402,1966,28,20,19,O
1440,1966,84,24,"152,00",O
1530,1966,15,20,€,O
