left,top,width,height,text,label
80,124,305,52,FACTURE,O
77,317,92,20,Facturé,O
177,317,11,20,a,O
77,359,62,20,Marc,O
147,359,71,20,Demo,O
76,401,62,20,3575,O
147,401,75,20,Buena,O
229,400,62,21,Vista,O
298,401,93,20,Avenue,O
77,443,88,25,Eugene,O
173,443,58,20,COR,O
239,443,78,20,97401,O
77,481,60,25,Etats,O
146,485,52,21,Unis,O
77,646,180,20,DESCRIPTION,O
77,733,134,20,Restaurant,LINE/DESCRIPTION
77,821,86,20,Bureau,LINE/DESCRIPTION
172,820,190,26,personnalisable,LINE/DESCRIPTION
76,908,159,21,Combinaison,LINE/DESCRIPTION
243,908,28,21,de,LINE/DESCRIPTION
280,908,83,21,bureau,LINE/DESCRIPTION
77,996,82,26,Design,LINE/DESCRIPTION
166,996,129,21,d'intérieur,LINE/DESCRIPTION
302,996,78,21,virtuel,LINE/DESCRIPTION
575,317,57,20,Date,O
574,364,44,15,nov,INVOICE_DATE
625,359,36,23,"24,",INVOICE_DATE
669,359,62,20,2016,INVOICE_DATE
575,424,57,20,Date,O
640,423,136,21,d'écheance,O
573,465,38,21,fév,INVOICE_DUE_DATE
618,466,107,23,"22,2017",INVOICE_DUE_DATE
863,70,177,25,YourCompany,SUPPLIER
864,113,47,20,250,O
919,112,118,21,Executive,ADDRESS
1046,112,54,21,Park,ADDRESS
1108,112,51,21,Blvd,ADDRESS
865,155,79,20,94134,ADDRESS
950,155,43,20,San,ADDRESS
1002,154,115,21,Francisco,ADDRESS
865,197,81,20,France,ADDRESS
897,317,92,20,Facture,O
997,317,30,20,N°,O
1291,317,105,20,Monrant,O
1404,317,11,20,a,O
1424,316,71,26,régler,O
897,358,248,22,FA11/2016/024459,NUMBER
1289,359,30,20,48,O
1329,359,105,23,"152,49€",O
897,424,123,20,Reference,O
897,465,115,21,BC09637,PO_NUMBER
1173,646,33,20,PU,O
1356,646,53,24,QTE,O
1442,646,156,20,SOUS-TOTA,O
1154,733,53,23,"8,00",LINE/QUANTITY
1341,732,69,25,"85,00",LINE/PRICE
1506,733,85,24,"680,00",LINE/SUB_TOTAL
1121,821,85,24,"500,00",LINE/QUANTITY
1341,821,69,24,"53,00",LINE/PRICE
1469,821,30,20,26,LINE/SUB_TOTAL
1507,821,85,24,"500,00",LINE/SUB_TOTAL
1121,909,85,24,"300,00",LINE/QUANTITY
1340,909,70,23,"44,00",LINE/PRICE
1471,909,28,20,13,LINE/SUB_TOTAL
1507,909,85,24,"200,00",LINE/SUB_TOTAL
1138,997,69,24,"20,50",LINE/QUANTITY
1340,997,70,24,"47,00",LINE/PRICE
1507,997,84,24,"963,50",LINE/SUB_TOTAL
1017,1694,62,21,Total,O
1089,1695,35,20,HT,O
1400,1695,30,20,41,TOTAL_UNTAXED
1439,1695,85,24,"343,50",TOTAL_UNTAXED
1530,1695,15,20,€,TOTAL_UNTAXED
1053,1783,70,20,Taxes,O
1400,1783,30,20,+6,TAX_AMOUNT
1438,1783,85,24,"808,99",TAX_AMOUNT
1530,1783,15,20,€,TAX_AMOUNT
1004,1872,61,21,Total,O
1073,1873,51,20,TTC,O
1400,1873,30,20,48,TOTAL_AMOUNT
1440,1873,105,23,"152,49€",TOTAL_AMOUNT
1030,1966,19,20,A,O
1056,1971,68,20,payer,O
1400,1966,30,20,48,O
1440,1966,105,24,"152,49€",O
