left,top,width,height,text,label
82,51,184,26,YourCompany,O
1366,55,139,34,FACTU,O
1511,55,50,33,RE,O
83,93,48,21,250,O
139,93,123,21,Executive,O
270,93,58,21,Park,O
335,93,55,21,Blvd,O
84,136,80,21,94134,O
170,136,45,22,San,O
224,136,119,21,Francisco,O
84,179,85,21,France,O
889,168,288,23,FACTU/2019/09/0051,NUMBER
1313,168,152,23,05/09/2019,INVOICE_DATE
84,316,47,21,The,SUPPLIER
138,316,100,21,Jackson,SUPPLIER
245,316,80,26,Group,SUPPLIER
86,358,63,21,1611,ADDRESS
157,358,79,26,Peony,ADDRESS
243,358,31,21,Dr,ADDRESS
84,401,72,26,Tracy,ADDRESS
162,401,39,21,CA,ADDRESS
208,401,80,21,95377,ADDRESS
86,439,63,26,Etats,ADDRESS
157,444,54,22,Unis,ADDRESS
82,611,2,85,|,O
107,643,77,26,Dépot,LINE/DESCRIPTION
1345,611,2,85,|,O
1386,643,30,21,10,LINE/SUB_TOTAL
1423,643,110,25,"233,50",LINE/SUB_TOTAL
1520,639,17,37,€,LINE/SUB_TOTAL
107,730,66,21,Boite,LINE/DESCRIPTION
180,730,30,21,de,LINE/DESCRIPTION
218,732,137,24,rangement,LINE/DESCRIPTION
1395,730,107,25,"1092,00",LINE/SUB_TOTAL
1508,730,16,21,€,LINE/SUB_TOTAL
360,796,85,38,Merci,O
457,807,63,23,pour,O
527,802,75,22,votre,O
608,800,104,24,fidélité,O
717,800,11,24,!,O
1251,812,122,27,TOTAL:,O
1386,812,36,26,11,TOTAL_AMOUNT
1432,812,109,31,"325,50",TOTAL_AMOUNT
1548,803,23,40,€|,TOTAL_AMOUNT
