left,top,width,height,text,label
1416,52,153,26,FACTURE,O
1296,190,274,23,INV/04/2019/078856,NUMBER
109,233,95,21,Biotech,SUPPLIER
1302,236,59,20,Date,O
108,276,46,20,215,ADDRESS
161,275,58,21,Vine,ADDRESS
226,276,25,20,St,ADDRESS
1107,257,59,20,a,O
1262,276,140,21,d'échéance,O
1492,257,72,20,ae,O
108,317,112,20,Scranton,ADDRESS
228,317,36,20,PA,ADDRESS
272,317,78,20,18503,ADDRESS
1061,321,150,23,05/04/2019,INVOICE_DATE
1257,321,150,23,05/04/2019,INVOICE_DUE_DATE
1461,321,134,22,PO095069,PO_NUMBER
109,359,62,20,Etats,ADDRESS
179,358,54,21,Unis,ADDRESS
1042,401,149,21,Information,O
1198,401,70,21,client,O
1040,446,76,21,Wood,O
1124,447,87,20,Corner,O
1043,488,61,21,1839,O
1110,488,75,21,Arbor,O
1191,489,59,25,Way,O
1040,529,97,21,Turlock,O
1144,530,37,20,CA,O
1188,530,78,20,95380,O
1042,567,62,25,Etats,O
1112,571,54,21,Unis,O
300,674,145,34,Description,O
723,674,113,33,Quantité,O
937,678,51,21,Prix,O
995,678,98,21,unitaire,O
1180,674,56,33,TVA,O
1373,679,109,20,Montant,O
105,766,89,20,Bureau,LINE/DESCRIPTION
202,771,58,20,pour,LINE/DESCRIPTION
266,767,83,24,quatre,LINE/DESCRIPTION
357,771,128,20,personnes,LINE/DESCRIPTION
753,765,53,21,73.0,LINE/QUANTITY
952,765,35,21,€2,LINE/PRICE
994,765,86,25,"500,00",LINE/PRICE
1181,765,54,21,20.0,LINE/TAX
1347,765,16,21,€,LINE/SUB_TOTAL
1368,765,47,21,219,LINE/SUB_TOTAL
1421,765,86,25,"000,00",LINE/SUB_TOTAL
105,849,94,26,Logiciel,LINE/DESCRIPTION
207,849,30,21,de,LINE/DESCRIPTION
243,849,139,26,conception,LINE/DESCRIPTION
389,849,31,21,de,LINE/DESCRIPTION
427,849,86,21,bureau,LINE/DESCRIPTION
761,849,38,21,2.0,LINE/QUANTITY
962,849,15,21,€,LINE/PRICE
983,849,86,25,"235,00",LINE/PRICE
1181,849,54,21,20.0,LINE/TAX
1374,849,107,25,"€564,00",LINE/SUB_TOTAL
104,934,105,21,Armoire,LINE/DESCRIPTION
216,940,58,15,avec,LINE/DESCRIPTION
281,936,79,24,portes,LINE/DESCRIPTION
748,930,58,33,44.0,LINE/QUANTITY
962,934,15,21,€,LINE/PRICE
984,934,85,25,"120,50",LINE/PRICE
1182,934,53,21,10.0,LINE/TAX
1363,934,36,21,€5,LINE/SUB_TOTAL
1406,934,86,25,"832,20",LINE/SUB_TOTAL
105,1019,85,26,Espace,LINE/DESCRIPTION
197,1019,30,21,de,LINE/DESCRIPTION
233,1019,82,21,travail,LINE/DESCRIPTION
323,1019,123,21,individuel,LINE/DESCRIPTION
763,1019,36,21,1.0,LINE/QUANTITY
962,1019,15,21,€,LINE/PRICE
983,1019,86,25,"876,00",LINE/PRICE
1190,1020,37,20,55,LINE/TAX
1374,1019,15,21,€,LINE/SUB_TOTAL
1396,1019,84,25,"924,18",LINE/SUB_TOTAL
105,1104,89,22,Bureau,LINE/DESCRIPTION
202,1104,198,26,personnalisable,LINE/DESCRIPTION
753,1104,53,21,77.0,LINE/QUANTITY
962,1104,107,25,"€500,00",LINE/PRICE
1181,1104,54,21,20.0,LINE/TAX
1355,1104,15,21,€,LINE/SUB_TOTAL
1375,1105,32,20,46,LINE/SUB_TOTAL
1413,1104,86,25,"200,00",LINE/SUB_TOTAL
105,1189,84,26,Design,LINE/DESCRIPTION
196,1189,134,21,d'intérieur,LINE/DESCRIPTION
336,1189,82,21,virtuel,LINE/DESCRIPTION
753,1189,53,21,69.0,LINE/QUANTITY
970,1189,15,21,€,LINE/PRICE
991,1189,69,25,"20,50",LINE/PRICE
1190,1190,36,20,5.5,LINE/TAX
1363,1189,129,25,"€1492,30",LINE/SUB_TOTAL
104,1273,92,21,Service,LINE/DESCRIPTION
203,1273,75,21,Client,LINE/DESCRIPTION
285,1272,97,27,(Heures,LINE/DESCRIPTION
389,1272,139,27,Prépayées),LINE/DESCRIPTION
753,1273,53,21,63.0,LINE/QUANTITY
962,1273,15,21,€,LINE/PRICE
984,1273,85,25,"190,00",LINE/PRICE
1181,1273,54,21,20.0,LINE/TAX
1355,1273,15,21,€,LINE/SUB_TOTAL
1377,1274,30,20,14,LINE/SUB_TOTAL
1414,1273,85,25,"364,00",LINE/SUB_TOTAL
105,1353,68,37,Hotel,LINE/DESCRIPTION
753,1353,53,37,80.0,LINE/QUANTITY
962,1358,15,21,€,LINE/PRICE
982,1358,87,25,"400,00",LINE/PRICE
1181,1358,54,21,20.0,LINE/TAX
1355,1358,15,21,€,LINE/SUB_TOTAL
1376,1358,31,21,38,LINE/SUB_TOTAL
1413,1358,86,25,"400,00",LINE/SUB_TOTAL
196,1537,108,20,Montant,O
312,1537,36,20,HT,O
522,1536,16,21,€,TOTAL_UNTAXED
543,1536,47,22,273,TOTAL_UNTAXED
596,1536,87,25,"032,50",TOTAL_UNTAXED
234,1584,73,20,Taxes,O
530,1583,52,21,€53,TAX_AMOUNT
589,1583,85,25,"744,18",TAX_AMOUNT
189,1631,108,20,Montant,O
304,1631,50,20,TTC,O
522,1630,16,21,€,TOTAL_AMOUNT
544,1630,46,22,326,TOTAL_AMOUNT
597,1630,85,25,"776,68",TOTAL_AMOUNT
