left,top,width,height,text,label
91,86,72,20,Azure,SUPPLIER
172,86,91,20,Interior,SUPPLIER
91,128,63,20,4557,ADDRESS
163,128,32,20,De,ADDRESS
203,127,55,21,Silva,ADDRESS
266,128,23,20,St,ADDRESS
93,170,103,20,Fremont,ADDRESS
203,170,37,20,CA,ADDRESS
248,170,77,20,94538,ADDRESS
93,207,60,25,Etats,ADDRESS
161,212,52,20,Unis,ADDRESS
870,151,113,19,FACTURE,O
991,151,16,18,A,O
869,184,155,23,YourCompany,O
869,218,39,17,250,O
918,217,103,19,Executive,O
1031,217,48,19,Park,O
1088,217,44,19,Blvd,O
870,251,41,19,San,O
921,251,103,19,Francisco,O
1035,266,2,6,",",O
1048,252,66,18,94134,O
171,348,94,20,Facture,O
274,348,35,20,N°:,O
318,347,247,22,FA10/2017/001688,NUMBER
170,389,63,21,Code,O
241,389,66,21,client,O
314,390,80,20,CLO10,O
171,432,29,20,N°,O
208,431,106,21,d'affaire:,O
322,432,82,20,A5901,O
107,581,125,20,Réference,O
107,668,122,20,E-COMO8,O
107,754,148,24,FURN_6666,O
107,967,122,20,E-COM10,O
107,1053,122,20,E-COMO9,O
107,1266,148,24,FURN_8900,O
159,1637,48,15,Base,O
215,1637,26,15,HT,O
149,1701,32,15,185,O
188,1701,63,18,"486,00",O
855,313,57,20,Date,O
921,312,148,22,27/10/2017,INVOICE_DATE
587,576,147,34,Désignation,O
1009,581,45,24,Qté,O
399,668,64,20,Boite,LINE/DESCRIPTION
470,667,29,21,de,LINE/DESCRIPTION
507,669,134,24,rangement,LINE/DESCRIPTION
997,668,69,24,"83,00",LINE/QUANTITY
399,749,80,25,Ecrans,LINE/DESCRIPTION
487,753,110,21,ant-bruit,LINE/DESCRIPTION
998,754,68,23,"59,00",LINE/QUANTITY
397,839,148,26,Assemblage,LINE/DESCRIPTION
553,839,29,21,de,LINE/DESCRIPTION
589,840,91,20,Cuisine,LINE/DESCRIPTION
688,839,90,26,(Etapes,LINE/DESCRIPTION
998,840,68,24,"62,00",LINE/QUANTITY
399,880,159,27,Importantes),LINE/DESCRIPTION
399,966,106,21,Poubelle,LINE/DESCRIPTION
513,967,12,20,a,LINE/DESCRIPTION
534,966,80,26,pédale,LINE/DESCRIPTION
998,967,68,24,"22,00",LINE/QUANTITY
398,1052,74,21,Grand,LINE/DESCRIPTION
482,1052,84,21,bureau,LINE/DESCRIPTION
998,1053,68,24,"99,00",LINE/QUANTITY
397,1138,131,21,Architecte,LINE/DESCRIPTION
537,1138,106,26,Principal,LINE/DESCRIPTION
653,1138,151,25,(Facturation,LINE/DESCRIPTION
813,1144,38,15,sur,LINE/DESCRIPTION
998,1139,68,24,"71,00",LINE/QUANTITY
399,1180,93,21,Feuilles,LINE/DESCRIPTION
499,1180,29,21,de,LINE/DESCRIPTION
535,1180,89,26,Temps),LINE/DESCRIPTION
397,1266,69,20,Tiroir,LINE/DESCRIPTION
474,1266,48,20,noir,LINE/DESCRIPTION
998,1266,68,23,"94,00",LINE/QUANTITY
397,1637,48,15,Taux,O
598,1636,105,21,Réglement,O
710,1636,14,16,€,O
864,1637,49,15,Total,O
921,1637,42,16,€HT,O
377,1701,41,15,TVA,O
424,1701,41,16,20%,O
641,1701,39,18,"0,00",O
863,1701,33,16,185,TOTAL_UNTAXED
903,1701,63,18,"486,00",TOTAL_UNTAXED
83,1811,114,22,Réglement,O
205,1813,58,15,avant,O
271,1812,24,16,le:,O
306,1812,111,16,11/11/2017,INVOICE_DUE_DATE
84,1858,24,16,En,O
116,1862,34,12,cas,O
158,1858,24,16,de,O
190,1858,92,21,paiement,O
290,1857,81,22,"anticipé,",O
380,1862,60,12,aucun,O
448,1859,97,20,escompte,O
554,1862,23,12,ne,O
585,1862,23,12,ne,O
616,1862,43,13,sera,O
667,1857,84,18,accordé.,O
82,1880,45,17,Tout,O
135,1880,56,16,retard,O
200,1880,23,16,de,O
232,1880,92,21,paiement,O
331,1880,82,21,engedre,O
421,1884,36,12,une,O
465,1879,83,22,pénalité.,O
1169,580,47,21,Prix,O
1226,580,69,21,Uni.,O
1284,576,16,35,€,O
1199,668,67,23,"14,00",LINE/PRICE
1189,754,85,24,"287,00",LINE/PRICE
1188,840,86,24,"420,00",LINE/PRICE
1199,967,67,23,"10,00",LINE/PRICE
1180,1053,105,24,"1299,00",LINE/PRICE
1191,1139,83,24,"150,00",LINE/PRICE
1197,1266,69,24,"20,00",LINE/PRICE
1112,1637,80,16,Montant,O
1198,1637,41,15,TVA,O
1247,1637,14,16,€,O
1140,1701,22,16,33,TAX_AMOUNT
1169,1701,63,18,"334,60",TAX_AMOUNT
1395,581,107,20,Montant,O
1509,581,65,20,€H.T.,O
1433,668,12,20,1,LINE/SUB_TOTAL
1455,668,83,23,"162,00",LINE/SUB_TOTAL
1424,754,28,20,16,LINE/SUB_TOTAL
1461,754,84,24,"933,00",LINE/SUB_TOTAL
1422,840,30,20,26,LINE/SUB_TOTAL
1459,840,86,24,"040,00",LINE/SUB_TOTAL
1442,967,85,24,"220,00",LINE/SUB_TOTAL
1416,1053,44,20,128,LINE/SUB_TOTAL
1469,1053,85,24,"601,00",LINE/SUB_TOTAL
1424,1139,29,20,10,LINE/SUB_TOTAL
1460,1139,85,24,"650,00",LINE/SUB_TOTAL
1433,1266,105,24,"1880,00",LINE/SUB_TOTAL
1416,1637,32,15,Net,O
1455,1636,10,16,a,O
1473,1640,55,17,payer,O
1535,1637,14,16,€,O
1430,1701,33,16,218,TOTAL_AMOUNT
1470,1701,63,18,"820,60",TOTAL_AMOUNT
