left,top,width,height,text,label
152,133,65,22,Ready,SUPPLIER
224,133,41,18,Mat,SUPPLIER
152,170,54,18,7500,ADDRESS
212,170,24,18,W,ADDRESS
243,170,56,18,Linne,ADDRESS
307,170,51,18,Road,ADDRESS
150,206,60,22,Tracy,ADDRESS
217,206,32,18,CA,ADDRESS
255,206,69,18,95304,ADDRESS
152,239,53,22,Etats,ADDRESS
212,243,46,18,Unis,ADDRESS
176,334,50,32,Date,O
456,338,82,18,Facture,O
545,338,12,18,#,O
759,338,50,18,Date,O
816,338,121,18,d'échéance,O
1085,338,48,18,BC#,O
1256,334,71,32,Devise,O
1426,338,94,18,Vendeur,O
136,413,130,19,05/09/2020,INVOICE_DATE
399,413,216,19,FA09/2020/030060,NUMBER
783,413,130,19,04/11/2020,INVOICE_DUE_DATE
1058,413,100,18,BC08430,PO_NUMBER
1270,413,44,18,EUR,O
1424,413,49,18,John,O
1481,413,42,18,Doe,O
121,550,88,18,Adresse,O
215,550,26,18,de,O
246,550,122,18,facturation,O
967,550,87,18,Adresse,O
1060,550,26,18,de,O
1093,550,91,18,livraison,O
123,625,53,18,Deco,O
182,625,70,18,Addict,O
969,625,53,18,Deco,O
1028,625,69,18,Addict,O
123,662,25,18,77,O
155,662,58,18,Santa,O
221,662,83,18,Barbara,O
313,662,25,18,Rd,O
968,662,26,18,77,O
1000,662,58,18,Santa,O
1067,662,82,18,Barbara,O
1158,662,25,18,Rd,O
124,699,88,18,Pleasant,O
220,699,33,18,Hill,O
261,699,32,18,CA,O
300,699,67,18,94523,O
969,699,88,18,Pleasant,O
1065,699,33,18,Hill,O
1106,699,32,18,CA,O
1145,699,68,18,94523,O
123,731,53,22,Etats,O
183,735,46,18,Unis,O
969,731,52,22,Etats,O
1028,735,46,18,Unis,O
123,848,23,18,ID,O
152,848,60,18,client,O
122,923,70,18,CLOO3,O
111,1036,13,18,#,O
177,1036,124,23,Description,O
309,1042,3,12,:,O
565,1032,83,32,Qantité,O
752,1032,46,32,Prix,O
910,1032,94,32,Montant,O
1103,1032,48,32,TVA,O
1252,1036,63,18,Taxes,O
1420,1036,55,18,Total,O
1482,1036,45,18,TTC,O
113,1111,10,18,1,O
177,1106,56,33,Hotel,LINE/DESCRIPTION
585,1111,45,18,34.0,LINE/QUANTITY
737,1111,13,18,€,LINE/PRICE
755,1111,61,18,400.0,LINE/PRICE
903,1111,107,18,€13600.0,LINE/SUB_TOTAL
1079,1111,46,18,20.0,LINE/TAX
1237,1111,14,18,€,O
1257,1111,73,18,2720.0,O
1420,1111,13,18,€,O
1441,1111,86,18,16320.0,O
1113,1200,55,18,Total,O
1177,1200,31,18,HT,O
1442,1200,45,18,€13,TOTAL_UNTAXED
1494,1200,74,21,"600,00",TOTAL_UNTAXED
1113,1250,63,18,Taxes,O
1456,1250,31,18,€2,TAX_AMOUNT
1494,1250,74,21,"720,00",TAX_AMOUNT
1113,1301,55,18,Total,O
1175,1301,45,18,TTC,O
1442,1301,46,18,€16,TOTAL_AMOUNT
1494,1301,75,21,"320,00",TOTAL_AMOUNT
1115,1351,93,18,Montant,O
1215,1351,10,18,a,O
1233,1356,61,17,payer,O
1442,1351,13,18,€,O
1463,1351,24,18,16,O
1495,1351,73,21,"320,00",O
80,1394,91,18,Montant,O
177,1394,48,18,total,O
233,1394,10,18,a,O
251,1399,64,17,payer:,O
322,1394,13,18,€,O
343,1394,24,18,16,O
374,1394,74,21,"320,00",O
698,1475,128,18,Information,O
832,1475,124,18,fournisseur,O
100,1550,40,18,Nos,O
146,1550,138,18,coordonnées,O
291,1550,106,18,bancaires:,O
848,1550,64,22,Ready,O
920,1551,40,17,Mat,O
100,1587,93,22,Banque::,O
201,1587,79,22,Banque,O
286,1587,47,18,ABC,O
847,1587,84,18,7500,O
908,1583,13,30,W,O
939,1587,55,18,Linne,O
1002,1587,52,18,Road,O
101,1623,61,18,IBAN:,O
171,1623,54,18,FR12,O
233,1623,54,18,3456,O
294,1623,54,18,7890,O
357,1623,53,18,1234,O
417,1623,54,18,5678,O
846,1623,60,22,Tracy,O
912,1623,32,18,CA,O
951,1623,68,18,95304,O
99,1660,128,19,SWIFT/BIC:,O
234,1660,121,18,SW123456,O
848,1656,52,22,Etats,O
908,1660,45,18,Unis,O
