left,top,width,height,text,label
84,91,616,104,FACTURE,O
58,316,88,21,Gemini,SUPPLIER
155,316,117,21,Furniture,SUPPLIER
59,358,46,21,317,ADDRESS
114,358,106,21,Fairchild,ADDRESS
229,359,30,20,Dr,ADDRESS
59,400,102,21,Fairfield,ADDRESS
169,400,38,21,CA,ADDRESS
214,400,78,21,94535,ADDRESS
59,438,62,25,Etats,ADDRESS
129,442,54,21,Unis,ADDRESS
59,527,168,28,FACTUREA,O
524,527,154,28,ENVOYEA,O
59,578,77,26,Ready,O
144,579,49,20,Mat,O
524,578,76,26,Ready,O
608,579,49,20,Mat,O
59,620,63,21,7500,O
128,621,29,20,W,O
165,620,66,21,Linne,O
239,620,61,21,Road,O
523,620,63,21,7500,O
592,621,29,20,W,O
629,620,66,21,Linne,O
704,620,61,21,Road,O
58,663,70,25,Tracy,O
135,662,37,21,CA,O
180,662,79,21,95304,O
522,663,70,25,Tracy,O
599,662,38,21,CA,O
644,662,79,21,95304,O
59,700,62,25,Etats,O
129,704,54,21,Unis,O
524,700,61,25,Etats,O
594,704,53,21,Unis,O
59,847,72,40,QTE,O
215,847,258,35,DESIGNATION,O
60,917,77,27,"12,00",LINE/QUANTITY
212,916,117,24,Armoire,LINE/DESCRIPTION
338,923,63,17,avec,LINE/DESCRIPTION
410,919,89,26,portes,LINE/DESCRIPTION
59,968,78,27,"58,00",LINE/QUANTITY
212,967,169,30,Assemblage,LINE/DESCRIPTION
389,967,33,24,de,LINE/DESCRIPTION
430,967,103,24,Cuisine,LINE/DESCRIPTION
542,966,102,30,(Etapes,LINE/DESCRIPTION
654,966,180,30,Importantes),LINE/DESCRIPTION
59,1019,78,27,"55,00",LINE/QUANTITY
214,1019,99,23,Bureau,LINE/DESCRIPTION
322,1018,100,30,d'angle,LINE/DESCRIPTION
430,1025,64,17,avec,LINE/DESCRIPTION
501,1018,71,30,siége,LINE/DESCRIPTION
580,1019,14,23,a,LINE/DESCRIPTION
602,1018,100,30,gauche,LINE/DESCRIPTION
59,1070,78,27,"96,00",LINE/QUANTITY
214,1064,91,29,Ecrans,LINE/DESCRIPTION
314,1069,126,24,ant-bruit,LINE/DESCRIPTION
59,1121,78,27,"77,00",LINE/QUANTITY
214,1121,155,23,Restaurant,LINE/DESCRIPTION
59,1172,78,27,"37,00",LINE/QUANTITY
214,1171,75,24,Hotel,LINE/DESCRIPTION
58,1223,79,28,"83,00",LINE/QUANTITY
214,1222,115,29,Flipover,LINE/DESCRIPTION
59,1274,60,27,"3,00",LINE/QUANTITY
212,1273,79,24,Tiroir,LINE/DESCRIPTION
59,1325,78,27,"97,00",LINE/QUANTITY
212,1324,117,24,Armoire,LINE/DESCRIPTION
338,1331,63,17,avec,LINE/DESCRIPTION
410,1327,89,26,portes,LINE/DESCRIPTION
56,1898,197,23,CONDITIONS,O
262,1898,35,23,ET,O
306,1893,177,28,MODALITES,O
493,1898,38,23,DE,O
541,1898,158,23,PAIEMENT,O
57,1944,31,21,30,O
94,1944,10,21,J,O
111,1944,32,21,fin,O
151,1944,29,21,du,O
189,1944,63,21,mois.,O
988,560,139,23,FACTURE,O
1136,560,34,23,N°,O
988,611,79,23,DATE,O
987,662,191,23,COMMANDE,O
1188,662,33,23,N°,O
988,708,163,28,ECHEANCE,O
1034,854,85,28,PRIX,O
1129,854,97,28,UNIT.,O
1238,854,49,28,HT,O
1193,917,95,27,"120,50",LINE/PRICE
1190,968,98,27,"420,00",LINE/PRICE
1209,1019,78,27,"78,00",LINE/PRICE
1191,1070,97,27,"287,00",LINE/PRICE
1228,1121,60,27,"8,00",LINE/PRICE
1190,1172,98,27,"400,00",LINE/PRICE
1168,1223,14,23,1,LINE/PRICE
1191,1223,97,27,"700,00",LINE/PRICE
1193,1274,95,27,"100,00",LINE/PRICE
1193,1325,95,27,"120,50",LINE/PRICE
954,1589,64,21,Total,O
1027,1589,36,21,HT,O
954,1635,73,21,Taxes,O
954,1680,90,21,TOTAL,O
1311,559,282,26,FA08/2020/000160,NUMBER
1425,610,169,26,31/08/2020,INVOICE_DATE
1463,662,130,23,BCO9402,PO_NUMBER
1425,712,169,26,29/11/2020,INVOICE_DUE_DATE
1340,854,196,28,MONTANT,O
1547,854,48,28,HT,O
1451,917,14,23,1,LINE/SUB_TOTAL
1473,917,98,27,"446,00",LINE/SUB_TOTAL
1578,917,17,23,€,LINE/SUB_TOTAL
1432,968,35,23,24,LINE/SUB_TOTAL
1475,968,96,27,"360,00",LINE/SUB_TOTAL
1578,968,17,23,€,LINE/SUB_TOTAL
1449,1019,17,23,4,LINE/SUB_TOTAL
1474,1019,97,27,"290,00",LINE/SUB_TOTAL
1578,1019,17,23,€,LINE/SUB_TOTAL
1432,1070,34,23,27,LINE/SUB_TOTAL
1475,1070,96,27,"552,00",LINE/SUB_TOTAL
1578,1070,17,23,€,LINE/SUB_TOTAL
1474,1121,97,27,"616,00",LINE/SUB_TOTAL
1578,1121,17,23,€,LINE/SUB_TOTAL
1433,1172,34,23,14,LINE/SUB_TOTAL
1474,1172,97,27,"800,00",LINE/SUB_TOTAL
1578,1172,17,23,€,LINE/SUB_TOTAL
1414,1223,51,23,141,LINE/SUB_TOTAL
1475,1223,95,27,"100,00",LINE/SUB_TOTAL
1578,1223,17,23,€,LINE/SUB_TOTAL
1474,1274,97,27,"300,00",LINE/SUB_TOTAL
1578,1274,17,23,€,LINE/SUB_TOTAL
1433,1325,33,23,11,LINE/SUB_TOTAL
1475,1325,96,27,"688,50",LINE/SUB_TOTAL
1578,1325,17,23,€,LINE/SUB_TOTAL
1404,1589,47,21,226,TOTAL_UNTAXED
1459,1589,85,25,"152,50",TOTAL_UNTAXED
1551,1589,15,21,€,TOTAL_UNTAXED
1421,1635,29,21,17,TAX_AMOUNT
1457,1635,85,25,"887,15",TAX_AMOUNT
1551,1635,15,21,€,TAX_AMOUNT
1404,1680,47,21,244,TOTAL_AMOUNT
1457,1680,86,24,"039,65",TOTAL_AMOUNT
1551,1680,15,21,€,TOTAL_AMOUNT
