left,top,width,height,text,label
84,91,616,104,FACTURE,O
59,316,94,21,Biotech,SUPPLIER
59,358,45,21,215,ADDRESS
112,358,57,21,Vine,ADDRESS
176,358,24,21,St,ADDRESS
58,401,111,20,Scranton,ADDRESS
178,401,35,20,PA,ADDRESS
222,400,78,21,18503,ADDRESS
59,438,62,25,Etats,ADDRESS
129,442,54,21,Unis,ADDRESS
59,527,168,28,FACTUREA,O
524,527,154,28,ENVOYEA,O
58,578,75,21,Wood,O
141,578,87,21,Corner,O
522,578,75,21,Wood,O
605,578,88,21,Corner,O
60,620,62,21,1839,O
128,620,74,21,Arbor,O
209,621,58,25,Way,O
524,620,62,21,1839,O
592,620,74,21,Arbor,O
673,621,58,25,Way,O
58,662,95,21,Turlock,O
160,662,38,21,CA,O
205,662,79,21,95380,O
522,662,96,21,Turlock,O
624,662,38,21,CA,O
670,662,79,21,95380,O
59,700,62,25,Etats,O
129,704,54,21,Unis,O
524,700,61,25,Etats,O
594,704,53,21,Unis,O
59,847,72,40,QTE,O
215,847,258,35,DESIGNATION,O
58,917,79,27,"26,00",LINE/QUANTITY
213,917,105,29,Canapé,LINE/DESCRIPTION
326,916,64,24,trois,LINE/DESCRIPTION
399,916,86,29,places,LINE/DESCRIPTION
59,968,78,27,"78,00",LINE/QUANTITY
212,967,169,30,Assemblage,LINE/DESCRIPTION
389,967,33,24,de,LINE/DESCRIPTION
430,967,103,24,Cuisine,LINE/DESCRIPTION
542,966,102,30,(Etapes,LINE/DESCRIPTION
654,966,180,30,Importantes),LINE/DESCRIPTION
59,1019,78,27,"97,00",LINE/QUANTITY
213,1018,85,24,Grand,LINE/DESCRIPTION
308,1018,97,24,bureau,LINE/DESCRIPTION
59,1070,78,27,"33,00",LINE/QUANTITY
212,1069,117,24,Armoire,LINE/DESCRIPTION
338,1076,63,17,avec,LINE/DESCRIPTION
410,1072,89,26,portes,LINE/DESCRIPTION
59,1121,78,27,"94,00",LINE/QUANTITY
214,1121,91,28,Lampe,LINE/DESCRIPTION
