left,top,width,height,text,label
86,149,76,26,Ready,SUPPLIER
169,149,49,21,Mat,SUPPLIER
85,192,64,21,7500,ADDRESS
156,192,29,21,W,ADDRESS
192,192,66,21,Linne,ADDRESS
266,192,61,21,Road,ADDRESS
84,235,70,26,Tracy,ADDRESS
161,235,38,21,CA,ADDRESS
206,235,80,21,95304,ADDRESS
86,272,62,26,Etats,ADDRESS
156,277,53,21,Unis,ADDRESS
86,430,59,21,Date,O
152,430,29,21,de,O
189,430,19,21,la,O
215,430,101,21,facture,O
307,411,14,52,:,O
533,430,142,21,25.03.2017,INVOICE_DATE
1128,409,62,64,oe,O
1199,409,73,64,ee,O
1283,452,49,21,Vista,O
1352,452,20,21,A,O
1217,458,59,15,uena,O
1304,458,41,15,Vista,O
1372,458,75,15,Avenue,O
86,468,53,36,Réfé,O
218,473,14,21,de,O
256,473,4,21,la,O
281,473,48,21,facture,O
378,480,4,14,:,O
534,473,252,21,FA03/2017/056526,NUMBER
103,479,14,15,6,O
128,479,83,41,iia,O
234,479,40,41,ela,O
292,479,78,15,‘acture,O
600,469,14,36,/',NUMBER
677,473,11,22,J,NUMBER
1128,494,90,26,Eugene,O
1225,494,59,21,COR,O
1292,494,79,21,97401,O
86,516,100,21,Numéro,O
193,516,29,21,de,O
229,516,80,21,client:,O
533,516,82,21,CLO06,O
1128,532,62,26,Etats,O
1198,537,53,21,Unis,O
84,558,20,21,A,O
111,564,68,20,payer,O
186,560,80,19,avant:,O
533,558,142,21,24.05.2017,INVOICE_DUE_DATE
85,601,99,21,Contact,O
190,601,68,21,client,O
266,608,4,14,:,O
533,601,58,21,John,O
600,601,49,21,Doe,O
86,644,47,21,BC:,O
534,644,117,21,BCO7351,PO_NUMBER
86,755,146,34,Description,O
562,759,114,25,Quantité,O
705,759,68,21,Unité,O
803,759,50,21,Prix,O
860,759,98,21,unitaire,O
966,759,37,21,HT,O
1067,755,85,33,%*TVA,O
1253,759,64,21,Total,O
1325,759,57,21,TVA,O
1433,759,65,21,Total,O
1505,759,52,21,TTC,O
84,850,70,21,Tiroir,LINE/DESCRIPTION
585,850,70,25,"74,00",LINE/QUANTITY
699,850,80,21, Unités,LINE/UOM
859,850,86,25,"100,00",LINE/PRICE
1291,850,54,25,"0,00",O
1442,850,14,21,7,LINE/SUB_TOTAL
1463,850,88,25,"400,00",LINE/SUB_TOTAL
86,941,87,21,Bureau,LINE/DESCRIPTION
182,941,193,26,personnalisable,LINE/DESCRIPTION
585,941,70,25,"74,00",LINE/QUANTITY
699,941,79,21, Unités,LINE/UOM
858,941,87,25,"500,00",LINE/PRICE
1083,941,54,21,20.0,LINE/TAX
1264,941,14,21,7,O
1285,941,87,25,"400,00",O
1435,941,30,21,37,LINE/SUB_TOTAL
1472,941,87,25,"000,00",LINE/SUB_TOTAL
1169,1032,65,21,Total,O
1243,1032,37,21,HT,O
1420,1032,32,21,44,TOTAL_UNTAXED
1458,1032,88,25,"400,00",TOTAL_UNTAXED
1554,1032,15,21,€,TOTAL_UNTAXED
1121,1078,65,21,Total,O
1193,1078,87,21,TAXES,O
1439,1078,14,21,7,TAX_AMOUNT
1460,1078,88,25,"400,00",TAX_AMOUNT
1554,1078,15,21,€,TAX_AMOUNT
1155,1124,65,22,Total,O
1227,1124,52,21,TTC,O
1421,1124,31,21,51,TOTAL_AMOUNT
1459,1124,88,25,"800,00",TOTAL_AMOUNT
1554,1124,15,21,€,TOTAL_AMOUNT
